COD_ACIDENTE;DATA;HORA;NATUREZA;SEVERIDADE;LOG1;LOG2;NUMERO_REFERENCIA;BAIRRO;JURISDICAO;LATITUDE;LONGITUDE;TIPOCRUZAMENTO;CONTROLETRAFEGO;LOCAL;ILUMINAÇÃO;TEMPO;SUPERFÍCIE DA PISTA;PRIMEIRA FONTE;AMCBO;SAMU;PECOFE;PRF;PRE;SIM
ZAD8083;2024-07-24;22:35:28;Queda;Ferido;Jose Cavalcante Sobrinho - Cond Forte Iracema;;120;Coacu;;-3.8364926;-38.486687;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407240936;;;;
QOK3189;2024-07-24;22:44:20;Queda;Ferido;Professor Manoel Lourenço;;27;Joquei Clube;;-3.7621315;-38.5722888;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407240945;;;;
UHJ5641;2024-07-25;01:22:07;Queda;Ferido;Dos Praçinhas;;937;Benfica;;-3.7377112;-38.5428875;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407250017;;;;
SSO0087;2024-07-25;07:48:49;Colisão;Ferido;Rua Padre Anchieta;;342;Monte Castelo;;-3.7230694;-38.550561;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407250144;;;;
UNZ5294;2024-07-25;08:25:54;Queda;Ferido;Julio Silva;;440;Antonio Diogo;;-3.7451497;-38.4541973;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407250183;;;;
UGQ8339;2024-07-25;09:42:01;Queda;Ferido;Coronel Matos Dourado;;879;Pici;;-3.7466711;-38.5847768;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407250261;;;;
ZVT6795;2024-07-26;06:15:26;Queda;Ferido;Avenida Beira Mar;;Não informado;Mucuripe;Não informado;-3.723256812729972;-38.484664270980545;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407260120;;;;
QXH0248;2024-07-26;06:23:42;Colisão;Ferido;Rua Professor Heribaldo Costa -;;2050;Joao Xxiii;;-3.7695326;-38.5888588;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407260123;;;;
ZCJ2704;2024-07-26;15:24:37;Colisão;Ferido;Rua Alberto Magno -;;264;Montese;;-3.7585332;-38.5444638;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407260593;;;;
JOP1780;2024-07-26;17:09:15;Queda;Ferido;Avenida Maestro Lisboa;;2943;Lagoa Redonda;;-3.805920999999999;-38.4528201;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407260681;;;;
IPB1445;2024-07-27;08:21:41;Queda;Ferido;Benjamin Brasil;;573;Maraponga;;-3.804144599999999;-38.569035;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407270199;;;;
GMG1553;2024-07-27;11:29:16;Colisão;Ferido;Rua Vila Lobos;;802;ITAOCA;Não informado;-3.7720158005935103;-38.55924741478653;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407270359;;;;
LSU2970;2024-07-27;12:44:08;Queda;Ferido;Maestro Lisboa;;1500;Lagoa Redonda;;-3.807911099999999;-38.4672156;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407270442;;;;
PUR6233;2024-07-27;18:58:56;Queda;Ferido;Beira Mar;Rui Barbosa;Cruzamento;Praia De Iracema;;-3.723035;-38.5051783;Cruzamento;;Não informado;;Não informado;;SAMU;;2407270835;;;;
TOA4802;2024-07-27;19:04:03;Queda;Ferido;Rua Menor Jerônimo;;Não informado;Passare;Não informado;-3.814382153775026;-38.53456572344366;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407270843;;;;
ZXF7874;2024-07-27;20:45:00;Queda;Ferido;Avenida Presidente Costa e Silva;;Não informado;Prefeito Jose Walter;Não informado;-3.8246346;-38.5439482;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407270947;;;;
JKJ0210;2024-07-28;20:36:45;Queda;Ferido;BR 116 KM 10;;?;Messejana;;-3.8362910877133;-38.5026072236543;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407280858;;;;
IJG2468;2024-07-29;07:00:00;Colisão Transversal;Ferido;Av. Bernardo Manuel;;7525;Não informado;Municipal;-3.783971;-38.546645;;Não informado;Não informado;;Não informado;;BEST;1818;;;;;
BOA9920;2024-07-29;19:37:52;Colisão;Ferido;Pernambuco;;3129;Pici;;-3.748776;-38.5805939;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407290628;;;;
YYP5575;2024-07-30;07:15:27;Queda;Ferido;Lagoa Da Sapiranga;;21;Sapiranga;;-3.7910347;-38.460979;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407300118;;;;
KWE4170;2024-07-30;07:22:30;Queda;Ferido;Jose Bastos;;5854;Democrito Rocha;;-3.7653834;-38.5604325;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407300128;;;;
NQG8674;2024-07-30;16:45:37;Queda;Ferido;Rua Jose Dantas Pereira;;447;Canindezinho;;-3.8218434;-38.6091151;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407300658;;;;
HZB5700;2024-07-31;06:52:18;Colisão;Ferido;Avenida Aguanambi;;Não informado;Fatima;Não informado;-3.7512359939266267;-38.52362230808255;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407310152;;;;
WDI7543;2024-07-31;18:19:54;Queda;Ferido;Maronildo De Queiroz;;252;Jangurussu;;-3.8288645;-38.5182651;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407310730;;;;
GGF1609;2024-08-01;06:29:32;Colisão;Ferido;CE 010 (Px A Estrada Do Fio;;Não informado;Sabiaguaba;;-3.798772;-38.431878;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408010117;;;;
QVW7408;2024-08-01;07:59:53;Colisão;Ferido;Washington Soares;Nenen Arruda;Cruzamento;Messejana;;-3.8164332;-38.4826815;Cruzamento;;Não informado;;Não informado;;SAMU;;2408010187;;;;
IBW0271;2024-08-01;18:38:45;Queda;Ferido;Das Cerejeiras;;1836;Parque Presidente Vargas;;-3.8268073;-38.6019952;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408010636;;;;
IJY0973;2024-08-01;21:20:34;Queda;Ferido;Pedro Sampaio;;359;Quintino Cunha;;-3.7249507;-38.5923788;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408010794;;;;
ORX2186;2024-08-02;07:37:42;Colisão;Ferido;Mario Mamede;;1300;Fatima;;-3.749266499999999;-38.5314673;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408020130;;;;
NTZ1916;2024-08-02;23:43:37;Colisão;Ferido;Manoel Mavignier;;7520;Sabiaguaba;;-3.8106404;-38.4118799;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408021017;;;;
HVV5120;2024-08-03;00:37:08;Colisão;Ferido;Minas Gerais;;238;Bela Vista;;-3.7526341;-38.5626739;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408030020;;;;
HUW4255;2024-08-03;18:07:42;Queda;Ferido;Beira Mar;;Não informado;MEIRELES;Não informado;-3.725741;-38.4966461;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408030825;;;;
QRS8152;2024-08-04;13:54:42;Queda;Ferido;CE 010;;Não informado;Sabiaguaba;;-3.798772;-38.431878;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408040449;;;;
VZT0078;2024-08-04;15:29:17;Queda;Ferido;Rua Valdeci Leite;;35;Edson Queiroz;;-3.7719472;-38.4695217;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408040521;;;;
IOQ8717;2024-08-04;16:14:03;Queda;Ferido;Avenida Pessoa Anta;;901;Centro;Não informado;-3.7208728;-38.5198807;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408040564;;;;
SFW3065;2024-08-04;16:33:24;Queda;Ferido;Rua Umarizeiras;;1821;Parque Presidente Vargas;;-3.8213588;-38.5978472;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408040583;;;;
JNZ5273;2024-08-04;16:44:47;Queda;Ferido;Contorno;;Não informado;Edson Queiroz;Não informado;-3.7697689;-38.4741084;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408040595;;;;
NQR1051;2024-08-04;21:11:00;Colisão;Fatal;Rua Marechal Bittencourt;;1011;DIAS MACEDO;Municipal;-3.7923561914490325;-38.53011325602938;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;PEFOCE;NQR1051;2408040864;598524;;;36806548
JLM5320;2024-08-05;07:51:19;Colisão;Ferido;Cidade Ecologica;;283;Edson Queiroz;;-3.7735499;-38.4677161;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408050159;;;;
IHG0084;2024-08-07;11:13:14;Queda;Ferido;Beira Mar;;Não informado;MEIRELES;Não informado;-3.725741;-38.4966461;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408070327;;;;
MQP6214;2024-08-08;10:08:44;Colisão;Ferido;Rua Visconde De Ico;;19;Vila Ellery;;-3.7199249;-38.5589637;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408080328;;;;
SND3870;2024-08-08;22:22:00;Atropelamento;Não informado;Rua Germano Franck;RUA CON LIMA SUCUPIRA;;PARANGABA;Municipal;-3.775297059074934;-38.55966583610876;Meio de quadra;Não informado;Residencial;Via Iluminada;Bom;Seca;AMCBO;976239;;;;;
UGX4221;2024-08-09;07:05:00;Colisão Frontal;Não informado;Rua Olegário Memória;;2954;Não informado;Municipal;-3.7913532758497746;-38.47147719003261;;Não há Controle;Não informado;;Não informado;;BEST;1885;;;;;
