COD_ACIDENTE;VEÍCULO;TIPO VEÍCULO;MARCA;ANO FABRICAÇÃO;COR;ESPÉCIE;CATEGORIA;ALUGUEL;LEGALIZADO;DANIFICADO;MANOBRA;VIA DE ACESSO
LGM2022;.1;Bicicleta;;;;;;;Não informado;;;
LGM2022;.2;Automóvel;;;;;;;Não informado;;;
YBN4899;.1;Bicicleta;;;;;;;Não informado;;;
CLK8059;.1;Bicicleta;;;;;;;Não informado;;;
CUN5759;.1;Bicicleta;;;;;;;Não informado;;;
LQD2041;.1;Bicicleta;;;;;;;Não informado;;;
CUZ7252;.1;Bicicleta;;;;;;;Não informado;;;
CUZ7252;.2;Automóvel;;;;;;;Não informado;;;
KYA8749;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
KYA8749;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
SKI2203;.1;Bicicleta;;;;;;;Não informado;;;
FIA2954;.1;Bicicleta;;;;;;;Não informado;;;
FIA2954;.2;Automóvel;;;;;;;Não informado;;;
ZTZ4351;.1;Bicicleta;;;;;;;Não informado;;;
WBO3816;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
NKR6901;.1;Bicicleta;;;;;;;Não informado;;;
GQF4924;.1;Bicicleta;;;;;;;Não informado;;;
FWV8916;.1;Bicicleta;;;;;;;Não informado;;;
MUI1868;.1;Bicicleta;;;;;;;Não informado;;;
MUI1868;.2;Automóvel;;;;;;;Não informado;;;
LIY4015;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
WHH5598;.1;Bicicleta;;;;;;;Não informado;;;
WHH5598;.2;Automóvel;;;;;;;Não informado;;;
XMW1428;.1;Bicicleta;;;;;;;Não informado;;;
XMW1428;.2;Automóvel;;;;;;;Não informado;;;
VET6740;.1;Bicicleta;;;;;;;Não informado;;;
NBX5958;.1;Bicicleta;;;;;;;Não informado;;;
PEI4053;.1;Bicicleta;;;;;;;Não informado;;;
TWY4246;.1;Bicicleta;;;;;;;Não informado;;;
HMQ5023;.1;Bicicleta;MONARK BARRA CIRCULAR;;VERDE;Não informado;Não informado;Não informado;Não informado;Danificado;CIRCULANDO;Não informado
FDP4013;.1;Bicicleta;;;;;;;Não informado;;;
EGA5596;.1;Bicicleta;;;;;;;Não informado;;;
