COD_ACIDENTE;VIA;NOME;SINALIZAÇÃO HORIZONTAL;SINALIZAÇÃO VERTICAL;ALINHAMENTO HORIZONTAL;ALINHAMENTO VERTICAL;OBRA DE ARTE;OBRAS NA PISTA;TIPO DA PISTA;TIPO DO PAVIMENTO;FAIXA PARA SENTIDO;CONDIÇÃO DA PISTA;CONDIÇÃO DA CALÇADA;SEPARAÇÃO CENTRAL
LHN0249;2;Engenheiro Santana Junior;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ALP8325;1;Rua Irma Bazet;;;;;;;;;;;;
RYX7721;1;Rua Vicente De Castro;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SNE2747;1;Rua Coronel Alexandrino;;;;;;;;;;;;
SNE2747;2;Rua Isaias Boris;;;;;;;;;;;;
ZYO6645;1;Osorio De Paiva;;;;;;;;;;;;
SAS7763;1;Av Joao Pessoa;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SAS7763;2;Costa Prof. Costa Mendes;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
UOY0682;1;Urucutuba;;;;;;;;;;;;
NQG3795;1;Avenida Pessoa Anta;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
PRN6430;1;G - Cidade Jardim Ii;;;;;;;;;;;;
OZF5645;1;Almirante Barroso;;;;;;;;;;;;
CKT2182;1;Equador;;;;;;;;;;;;
CBL9029;1;Godofredo Maciel;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ULI6118;1;Leste Oeste;;;;;;;;;;;;
KNY1687;1;Upa Jangurussu;;;;;;;;;;;;
OMN2485;1;64  - Casa >> 71-A;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
IZB6430;1;Oscar  Araripe;;;;;;;;;;;;
BUZ6514;1;Avenida Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
TGC6388;1;Avenida Borges de Melo;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Dupla;Asfalto;Três;Boa;Boa;Canteiro elevado
UMJ2793;1;Sargento Joao Pinheiro;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
XLE2499;1;Rua Professor José Silveira;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Asfalto;Não informado;Não informado;Não informado;Não informado
XLE2499;2;RUA PEDRO SAMPAIO;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Asfalto;Não informado;Não informado;Não informado;Não informado
HEF6439;1;R. Dr. Pedro Sampaio;Não há;Não há;Reto;Plano;Não informado;Não informado;Dupla;Asfalto;Não informado;Buracos;Não informado;Não há
HEF6439;2;Rua Professor José Silveira;Condição ruim;Não há;Interseção;Plano;Não informado;Não informado;Dupla;Asfalto;Não informado;Buracos;Não informado;Não há
FVU7365;1;Pedro Sampaio;;;;;;;;;;;;
FVU7365;2;R. Professor Silveira-Castelao;;;;;;;;;;;;
CBJ7059;1;Tupipa;;;;;;;;;;;;
IYW1368;1;Contorno;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
DZQ8797;1;Julio Silva;;;;;;;;;;;;
VIO8244;1;Alencar De Oliveira;;;;;;;;;;;;
AUG5120;1;Miguel Gurgel;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
UCW9736;1;Avenida Doutor Mendel Steinbruch;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Asfalto;Não informado;Não informado;Não informado;Não informado
MTG7407;1;Humberto Monte;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
WSB5967;1;BR 116;;;;;;;;;;;;
ZPB7783;1;Leste Oeste;;;;;;;;;;;;
YHY2988;1;Porto Velho;;;;;;;;;;;;
RYH6085;1;Rua Viriato Ribeiro;;;;;;;;;;;;
DHO2739;1;Avenida Beira Mar;;;;;;;;;;;;
YEC0514;1;Independencia;;;;;;;;;;;;
EIZ6605;1;Bom Jesus;;;;;;;;;;;;
NKX5252;1;Contorno Sul;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
VTM1431;1;Jose Dantas Pereira;;;;;;;;;;;;
MZB3986;1;Rua Americo Vespucio;;;;;;;;;;;;
LST7815;1;Julio Silva;;;;;;;;;;;;
NXN1845;1;Avenida Washington Soares;;;;;;;;;;;;
IFO7200;1;Avenida Beira Mar;;;;;;;;;;;;
YKQ5823;1;Senador Carlos Jereissati;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
EER1496;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SXN2753;1;Rua Emiliano De Almeida Braga (Cj Hab Novo Barroso);;;;;;;;;;;;
SPQ5350;1;Tenente Lisboa;;;;;;;;;;;;
XAP8900;1;Francisco Sa;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
XDI6606;1;Coronel Joao De Oliveira;;;;;;;;;;;;
HJY0193;1;Rua 3;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
